startdate,enddate,state,FY,total,nationality,number_nation,reset_city,number_city,total_city
From: 01 Oct 2017,To: 30 Sep 2018,Missouri,FY 2018,482,Burma,47,Columbia,9,104
From: 01 Oct 2017,To: 30 Sep 2018,Missouri,FY 2018,482,Dem. Rep. Congo,307,Columbia,74,104
From: 01 Oct 2017,To: 30 Sep 2018,Missouri,FY 2018,482,Eritrea,36,Columbia,20,104
From: 01 Oct 2017,To: 30 Sep 2018,Missouri,FY 2018,482,Ethiopia,6,Columbia,1,104
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Burundi,2,Columbia,2,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Dem. Rep. Congo,332,Columbia,49,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Eritrea,29,Columbia,17,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Ethiopia,19,Columbia,1,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Iraq,96,Columbia,5,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Somalia,350,Columbia,32,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Sudan,85,Columbia,8,122
From: 01 Oct 2016,To: 30 Sep 2017,Missouri,FY 2017,"1,227",Syria,118,Columbia,8,122
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Burma,126,Columbia,15,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Burundi,18,Columbia,6,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Cuba,4,Columbia,2,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Dem. Rep. Congo,523,Columbia,81,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Eritrea,111,Columbia,56,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Ethiopia,32,Columbia,7,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Iraq,196,Columbia,3,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Palestine,1,Columbia,1,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Republic of South Sudan,30,Columbia,9,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Somalia,384,Columbia,18,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Sudan,46,Columbia,6,215
From: 01 Oct 2015,To: 30 Sep 2016,Missouri,FY 2016,"2,072",Syria,390,Columbia,11,215
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Burma,241,Columbia,25,125
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Dem. Rep. Congo,321,Columbia,27,125
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Eritrea,62,Columbia,29,125
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Ethiopia,33,Columbia,2,125
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Iraq,225,Columbia,25,125
From: 01 Oct 2014,To: 30 Sep 2015,Missouri,FY 2015,"1,431",Somalia,301,Columbia,17,125
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Burma,233,Columbia,31,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Cuba,96,Columbia,5,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Dem. Rep. Congo,161,Columbia,24,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Eritrea,31,Columbia,1,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Iraq,273,Columbia,35,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Somalia,339,Columbia,31,132
From: 01 Oct 2013,To: 30 Sep 2014,Missouri,FY 2014,"1,392",Sudan,62,Columbia,5,132
From: 01 Oct 2012,To: 30 Sep 2013,Missouri,FY 2013,"1,268",Burma,268,Columbia,41,121
From: 01 Oct 2012,To: 30 Sep 2013,Missouri,FY 2013,"1,268",Cuba,70,Columbia,3,121
From: 01 Oct 2012,To: 30 Sep 2013,Missouri,FY 2013,"1,268",Dem. Rep. Congo,56,Columbia,5,121
From: 01 Oct 2012,To: 30 Sep 2013,Missouri,FY 2013,"1,268",Eritrea,54,Columbia,20,121
From: 01 Oct 2012,To: 30 Sep 2013,Missouri,FY 2013,"1,268",Ethiopia,41,Columbia,10,121
